UID (NE PAS MODIFIER),Phrase en luxembourgeois,Phrase traduite
ebbf2a7632cf,Ech heesche Antoine,Je m'appelle Antoine
96d79b22c83e,Ech sinn den Antoine !,Je suis Antoine
e769a751e62b,Mir wëlle bleiwe wat mir sinn !,Nous voulons rester ce que nous sommes
f38055de49ed,Wéi geet et dir ?,Comment tu vas ? 
21a90b47ad8c,Et freet mech ... Enchantéiert,Enchanté(e)
c71c57251a4e,an dir ?,Et toi
3323cd0f04bb,an lech ? ,Et vous ? 
152bfb30908c,Dat deet mir leed,Désolé / Je suis désolé
fabac66df367,Ech sinn zu Disneyland Paräis ! 🐭,Je suis à Disneyland Paris 
bb85323d472b,Mir weisen hinnen wei den Hues leeft,On va leur montrer de quel bois on se chauffe. (littéralement:  Nous allons leur montrer comment le lièvre court.)
0060e711b6d0,Hackerstiwwel,Nom d’une pipe !
ed503738bf17,Wat ass dat?,Qu'est-ce que c'est ?
8e7dadc871aa,Dat ass e ,C'est un ...
ee7cc1c08499,Dat ass eng,C'est une ...
1f84597a7945,Ass dat e ,"Est-ce ? (neutre, m)"
7aee458c8d5f,Ech heesche Jon Tapp,Je m'appelle Jon Tapp.
4ed63d7dc593,Mäin Numm ass Jon Tapp,Je m'appelle Jon Tapp
90d20ea2a9e3,Wéi geet et?,Comment vas-tu?
914f85c0b2f3,Wéi heescht Dir mam Virnumm? Wat ass Äre Virnumm?,Quel est votre prénom ?
01e9016ce730,Mäi Familljennumm ass Tapp,Mon nom de famille est Tapp
0720652532ae,Mäi Virnumm ass Jon,Mon prénom est Jon
0c06892ba6e7,Et ass gär geschitt 't ass gär geschitt Gärr geschitt,Je vous en prie / Avec plaisir
165a99566265,Wat gelift?,Qu'est-ce que c'était (pouvez-vous répéter) ?
26ee82e6b5c8,Ech heeschen ToniEch sinn den Toni,Je suis Toni (homme)
a3480018c72d,Ech heesche Bob Ech sinn de Bob,Je suis Bob (homme)
27a032c45680,Ech heeschen TaniaEch sinn d'Tania,Je suis Tania (femme)
40fc3bfa016d,Ech heeschen Olivia Ech sinn d'Olivia,Je suis Olivia (femme)
f4764d695f40,Wat fir eng Faarf ass dat?,De quelle couleur est-ce ?
eb4045020f23,Et freet mech,Ravi de vous rencontrer
ef16810142c9,Vu wou kommt Dir?,D'où venez-vous ?
c2bb0a25c22d,Stellt Ären Noper (Är Nopesch vir!),Présentez votre voisin !
836236339c4e,Den Tom këent aus der Belsch,Tom vient de Belgique
8bf6819711f8,Aus wat fir engem Land këens du?,De quel pays venez-vous ? (informel)
c6860e7a0479,Aus wat fir enger Stad këens du?,De quelle ville venez-vous ? (informel)
bc3b7c64b765,Wat fir Sprooche schwätz du?,Quelles langues parlez-vous ?
783651806a94,Wat ass deng Mammensprooch?,Quelle est votre langue maternelle ?
b532200b3f93,Wat fir Friemsprooche schwätz du?,Quelles langues étrangères parlez-vous ?
d6d55411176e,Wéi vill (Wivill) Sprooche schwätzt Dir?,Combien de langues parlez-vous ?
46f79cccfb87,wat fir Sproochen ? wat fir eng Nationalitéiet ?,Quelles langues ? Quelle nationalité ?
1325c636a9c2,ech kommen aus der Stad,Je viens (à l'origine) de la ville de Luxembourg
aba4fcc416b9,Vill Gléch am Neie Joer,Bonne année
75159a67268b,Wat fir eng Joresäit ass elo ?,Quelle saison sommes-nous maintenant ?
99c66ec3ecd4,Wat fir e Mount ass elo ?,On est en quel mois ?
f58fbe3017b3,"Wéi al bass du, wavv ech froen däerf ?","Quel âge avez-vous, si je peux me permettre ?"
5cb8574ca474,Ech kréien am Summer 24 Joer.,J'aurai 24 ans cet été.
a61e27213ad8,Ech hunn den … Gebuertsdag.,Mon anniversaire est le…
68c81547ba31,fëllt d'Visittekaart fäerdeg aus,Terminez de remplir la carte de visite.
1c74edff7478,"Wéi Dir wëllt, Madame.","Comme vous le souhaitez, Madame."
82723149ba40,dat ass alles,C'est tout.
08ff5b3dc496,Schaffs du schonn ?,travails-tu déjà ?
d6309d8eb7a6,studéiers du nach,étudies-tu encore ?
7da03532f10a,Dat ass awer wäit,mais c'est loin (très loin)
510d3e63432e,d'Léit aus der Klass,les gens de la classe
4be31f7121f2,Erfarung als Infirmière,expérience en tant qu'infirmière
937610a30f2f,U wiem ass et ?,À qui le tour ?
81485d44e3d3,Soss nach eppes ?,Autre chose?
4b66fab572ab,Dir sidd häerzlech wëllkomm,Vous êtes chaleureusement les bienvenus.
