UID (NE PAS MODIFIER),Mot en luxembourgeois,Genre (m/n/f),Mot en français,Phrase d'exemple en luxembourgeois ,Phrase d'exemple traduite
700d40564853,Moien !,,Salut,"moien, Madamm, wat kann ech fir Iech maachen?",
a7ffc2bebcbd,de Mann,m,L'homme,d'Toilettë fir Männer a Frae si getrennt,
1a767edb355c,d'Fra,f,La femme,d'Toilettë fir Männer a Frae si getrennt,
fd20bb586433,d'Kand,f,L'enfant,meng Schwëster erwaart hiert drëtt Kand,
5b7525bc236f,d'Leit,p,Les gens,fir den Ufank vun de Solde waren d'Kleederbutteker voller Leit,
6e8f1b6d4568,Bis Geschwënn,,A bientôt ,,
1e81ad92ee13,och,,aussi,Mir geet et och gutt,"Moi aussi, je vais bien"
e248b9f04e04,gutt,,bien,Mir geet et gutt,Je vais bien
b2280a9f3569,schéinen Dag,,Bonne journée,,
c88fe97eed6e,flott,,Super,,
714bb40d8ad7,schlecht,,Mal / Mauvais,esou schlecht Manéieren däerf een net duerchgoe loossen,
e3b5425368e4,äddi,,Salut (au revoir),,
b0a688d3e9b0,wunnen,,habiter,Ech wunnen zu DIekriech,
ad661c5fbdbf,gläichfalls,,Pareillement,,
74c036af165e,heeschen,,S'appeler,,
56f1356ee330,Laachen,,Sourire,"hatt ass ganz sympathesch, et huet esou e léift Laachen",
f4f23688711c,Hoer,,Cheveux,"wann d'Hoer anormal staark ausfalen, kann dat vill Ursaachen hunn",
32ca6d392184,D'Autoen,p,Les voitures,ech hu mer en neien Auto kaaft,
1b5ecb4a3565,wéi ?,,Comment ?,,
c88b03d38056,Brudder,m,Frère,du bass ewéi e Brudder fir mech,
b8e2e15d2faa,Schwëster,f,soeur,ech hunn e Brudder an zwou Schwësteren,
22151a8492e0,Mann,m,mari,mäi Mann ass mat de Kanner an d'Vakanz gefuer,
5a014b84584c,Här,m,Monsieur,,
ead1cf423d29,Madamm,f,Madame,,
54e5cabd6fcc,mäin,,mon,,
4319c1ef9238,meng,,ma,,
c949e0e061a2,deng,,ta,,
eff33a7df089,Ären,m,Votre (masculin),,
1ed41f46b63e,Är,f,Votre (feminin),,
065ae0a00b56,immens gut,,Très bien,,
20a2432920ca,net immens,,Pas terrible,,
bc51cba17fca,Meedchen,f,Fille,,
d9e54b865575,Jong,m,Garcon,,
980f39041b36,Auto,m,Voiture,,
50e06b14fa29,Buch,n,Livre,dat Buch huet bal 500 Säiten,
56e459187256,Haus,n,Maison,an eiser Strooss ginn dräi Haiser gebaut,
8c0ae6215ee0,deier,,cher,ech hu mer en deiere Bijou geleescht,
6c7e99f48c0f,nei,,nouveau,ech hu mer an der Vakanz en neie Bikini kaaft,
bf9b218af3dd,schéin,,beau,beim Antiquaire steet e schéinen Tablo an der Fënster,
0b01161c810a,däin,,ton,,
f542b865bc6c,ech,,Je,,
8aa36d5a67be,du,,Tu,,
7fb28532d7ff,hien,,Il,,
8047ab64d3ab,si (/) hatt,,Elle,,
758717a0be12,mir,,Nous,,
cdb8b028fcb9,dir,,Vous,,
ec822c9ff92a,si,,Ils,,
915481a1cf02,si,,Elles,,
54abdd6f464d,Den Hierscht,m,L'automne,Et ass Hierscht.,C'est l'automne
8072fb8ab20a,Fréijoer,n,Le printemps,dëst Fréijoer stinn d'Beem fréi an der Bléi,
28cddc485885,Summer,m,L'été,Et ass endlech Summer!,C'est enfin l'été
a9dfc9d4401d,Wanter,m,L'hiver,Et ass Wanter,C'est l'hiver
dfe754f01552,eent ,,Un,,
a4b51817af3d,Zwee,,Deux,,
b101a48bc259,dräi,,Trois,,
6f8091ef7b43,Véier ,,Quatre,,
13cce051fc82,Fënnef ,,Cinq,,
9dd7faa76752,Sechs ,,Six,,
0d67ad285c5e,Siwen ,,Sept,,
c3ec66079501,Aacht ,,Huit,,
2b9fadff25a6,Néng,,Neuf,,
72d4fa8d70ca,Zéng,,Dix,,
1825ff7f7305,Eelef,,11,,
853828c61f9b,Zwielef,,12,,
3f0a5c93488c,Dräizéng,,13,,
3997c0c0a7e3,Véierzéng,,14,,
ceb3dcd722cf,Fofzéng,,15,,
153e2e6918b2,Siechzéng,,16,,
9d15c8e1bd88,Siwwenzéng,,17,,
05b2b4756923,Ueshtzéng,,18,,
6ac36792641f,Nonzéng,,19,,
efee28c5140d,Zwanzéng,,20,,
c0da15a02141,Drësseg,,30,,
0cdc0e7fdead,Véierzeg,,40,,
0bd2b2552588,Fofzeg,,50,,
0068ac2a8210,Siechzeg,,60,,
6bde9fde4e71,Siwwenzeg,,70,,
6fd698a020dd,Aachtzeg,,80,,
14b8869b1ac2,Nonzeg,,90,,
d295be2f2336,Honnert,,100,,
2ba42c192aec,Dausend,,1.000,,
4fc42bb96148,Zéngdausend,,10.000,,
7d020aea60a3,eng Millioun,,1.000.000,,
9ad55495b657,E brëll  ,m,Des lunettes,meng Fra krut hire Brëll beim Optiker gefléckt,
7c422f19dad7,en Dësch  ,m,Une table,am Zëmmer ware just en Dësch an zwee Still,
8166ba547a2e,E bläistëft  ,m,Un crayon,,
2c6c38157edb,e Stampel  ,m,Un tampon,,
adb441d54d48,en Telefon  ,m,Un téléphone,,
fbca93250a8b,e Computer  ,m,Un ordinateur,,
457e1f57a6a3,eng Planz  ,f,Une plante,,
d5042dd66ff1,Mapp  ,f,Un sac,,
4b7170e5a71d,Fënster  ,f,Une fênetre,,
322a65001e8b,Fläsch  ,f,Bouteille,de Wënzer huet de Wäin a Fläsche gefëllt,
130273fd28eb,Enveloppe  ,f,Envelope,,
32dd1aa61439,Dier  ,f,Une porte,,
5bf12a7aef38,Fotell  ,f,Un fauteil,,
434d110bca30,Auer  ,f,Montre,,
3f30e28dcad6,en Haus  ,n,Une maison,,
ac2b0358204f,E Buedzëmmer  ,n,Une salle de bain,,
3673b0d20dc6,e Glas  ,n,Un verre,,
d076c2967927,E regal  ,n,Une étagere,,
a5ef1645c3b5,E gebai  ,n,Un batiment,,
3252fc73b136,en Heft  ,n,Un cahier ,,
baf3dd485f48,e Bild  ,n,Une peinture / un tableau,,
c4efaff7470a,e Buch  ,n,Un livre,,
7e1f96aa46a8,e Blat  ,n,Un papier,,
be80c0675387,e Velo  ,m,Un velo,,
55d97ac1695b,eng Kreditkaart,f,Une carte de crédit,,
9121bb652518,eng Agenda,f,Un agenda,,
aa5111d55d08,e Fliger,m,Un avion,,
8a6d81154a1b,e Wecker,m,Alarm,,
d9f1e38c7457,eng Faarf,f,Couleur,,
28568f0ad051,Hellblo,,Bleu clair,,
65fe60611305,brong,,Marron,,
f07d9821034f,giel,,Jaune,,
9e22c5d58094,greng,,Vert,,
1e6b994f378b,gro,,Gris,,
4ff5881fd7a6,violett,,Violet,,
7d2762d936e1,orange,,Orange,,
33c0fe496c85,rosa,,Rose,,
ef88489438d8,rout,,Rouge,,
aedd509090e0,schwaarz,,Noir,,
e17daa70752d,wӓiss,,Blanc,,
d3d2c74274fa,donkelblo,,Bleu foncé,,
7a252c3dbb86,faarweg,,coloré,,
e83915efd4ae,e Schlëssel,m,Une Clé,,
427bb3fb9ce7,eng Luucht,f,une Lampe,,
